instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿alb.ny.0118,﻿church,not recorded,English,,,,﻿Washington County,﻿Washington County,﻿Fort Edward,﻿Fort Edward,﻿NY,,,,,,,﻿d_cull_001,﻿Rev.,﻿D. Cull,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0119,﻿church,not recorded,English,,,,﻿Montgomery County,﻿Montgomery County,﻿Fort Plain,﻿Fort Plain,﻿NY,,,,﻿alb.ny.0056,﻿attended from Canajoharie,,,,,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0120,﻿church,not recorded,English,,,,﻿Herkimer County,﻿Herkimer County,﻿Frankfort,﻿Frankfort,﻿NY,,,,﻿alb.ny.0149,﻿attended from Ilion,,,,,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0121,﻿church,﻿St. Francis de Sales,English,,,,﻿Delaware County,﻿Delaware County,﻿French Settlement,﻿French Woods,﻿NY,,,,﻿alb.ny.0098,"﻿attended by Rev. C. Griffith, of Deposit",,,,,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0122,﻿church,﻿—,English,,,,﻿Oswego County,﻿Oswego County,﻿Fulton,﻿Fulton,﻿NY,,,,,,,﻿jam_smith_001,﻿Rev.,﻿James Smith,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0124,﻿church,﻿—,English,,,,﻿Saratoga County,﻿Saratoga County,﻿Galway,﻿Galway,﻿NY,,,,﻿alb.ny.0245,﻿attended from Saratoga,,,,,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0125,﻿church,﻿—,English,,,,﻿Onondaga County,﻿Onondaga County,﻿Geddes,﻿Geddes,﻿NY,,,,,,,,,,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0126,﻿church,﻿Church of Angel Guardians,English,,,,﻿Albany County,﻿Albany County,﻿Guilderland,﻿Guilderland,﻿NY,,,,,,,﻿j_h_herbst_001,﻿Rev.,﻿J. H. Herbst,,,﻿of Albany,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0127,﻿church,﻿—,English,,,,﻿Albany County,﻿Albany County,﻿Green Island,﻿Green Island,﻿NY,,,,,,,﻿amb_m_oneil_001,﻿Rev.,﻿Ambrose M. O'Neil,,﻿Pastor,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0128,﻿church,﻿St. Mary's,English,﻿(new church),,,﻿Warren County,﻿Warren County,﻿Glenn's Falls,﻿Glens Falls,﻿NY,,,,,,,﻿jas_mcdermot_001,﻿Rev.,﻿Jas. McDermot,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0129,﻿church,﻿St. John Baptist,﻿French,,,,﻿Warren County,﻿Warren County,﻿Glenn's Falls,﻿Glens Falls,﻿NY,,,,,,,﻿h_theberge_001,﻿Rev.,﻿H. Theberge,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0130,﻿church,not recorded,English,,,,﻿St. Lawrence County,﻿St. Lawrence County,﻿Gouverneur,﻿Gouverneur,﻿NY,,,,﻿alb.ny.0228,﻿attended from Potsdam,,﻿h_b_hannett_001,,,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0131,﻿church,﻿St. Patrick's,English,,,,﻿Washington County,﻿Washington County,﻿Granville,﻿Granville,﻿NY,,,,,,,﻿w_b_hannett_001,﻿Rev.,﻿W. B. Hannett,,,﻿of Middle Granville,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0132,﻿church,not recorded,English,,,,﻿Chenango County,﻿Chenango County,﻿Greene,﻿Greene,﻿NY,,,,﻿alb.ny.0200,﻿attended from Norwich,,,,,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0133,﻿church,﻿—,English,,,,﻿Columbia County,,﻿Greenfield,,﻿NY,,,,﻿alb.ny.0086,﻿attended from Coxsackie,,,,,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0135,﻿church,not recorded,English,,,,﻿Fulton County,﻿Fulton County,﻿Gloversville,﻿Gloversville,﻿NY,,,,﻿alb.ny.0151,﻿attended from Johnstown,,,,,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0136,﻿church,not recorded,English,,,,﻿,﻿Delaware County,﻿Hancock,﻿Hancock,﻿NY,,,,,,,﻿c_griffith_001,﻿Rev.,﻿C. Griffith,,,"﻿of Deposit.  The other missions in Deleware Co., attended by",,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0137,﻿church,not recorded,English,﻿(new church),,,﻿Washington County,﻿Washington County,﻿Hampton,﻿Hampton,﻿NY,,,,,﻿attended by W. B. Hannett of Middle Granville,,,,,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0138,﻿church,not recorded,English,,,,﻿Oneida County,﻿Oneida County,﻿Holland Patent,﻿Holland Patent,﻿NY,,,,﻿alb.ny.0295,"﻿attended from St. John's Church, Utica.",,,,,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0139,﻿church,not recorded,English,,,,﻿Madison County,﻿Madison County,﻿Hamilton,﻿Hamilton,﻿NY,,,,﻿alb.ny.0200,﻿attended from Norwich,,,,,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0140,﻿church,﻿St. Patrick's,English,,,,﻿Lewis County,﻿Lewis County,﻿Harrisburgh,﻿Harrisburg,﻿NY,,,,﻿alb.ny.0168,﻿attended from Lowville.,,,,,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0141,﻿church,not recorded,English,,,,﻿Herkimer County,﻿Herkimer County,﻿Herkimer,﻿Herkimer,﻿NY,,,,﻿alb.ny.0149,﻿attended from Ilion,,,,,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0142,﻿church,﻿St. Mary's,English,,,,﻿Franklin County,﻿Franklin County,﻿Hogansburgh,﻿Hogansburg,﻿NY,,,,,,,﻿jos_de-luca_001,﻿Rev.,﻿Joseph de Luca,﻿D.D.,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0143,﻿church,﻿Immaculate Conception,English,,,,﻿Rensselaer County,﻿Rensselaer County,﻿Hoosick Falls,﻿Hoosick Falls,﻿NY,,,,,,,﻿e_a_daily_001,﻿Rev.,﻿E. A. Daily,﻿O.S.A.,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0144,﻿church,﻿St. Mary's,English,,,,﻿Columbia County,﻿Columbia County,﻿Hudson,﻿Hudson,﻿NY,,,,,,,﻿jam_s_osullivan_001,﻿Rev.,﻿James S. O'Sullivan,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0145,﻿church,not recorded,English,,,,﻿Greene County,﻿Greene County,﻿Hunter,﻿Hunter,﻿NY,,,,﻿alb.ny.0060,﻿attended from Catskill,,,,,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0149,﻿church,not recorded,English,,,,﻿Herkimer County,﻿Herkimer County,﻿Ilion,﻿Ilion,﻿NY,,,,,,,﻿wil_howard_001,﻿Rev.,﻿William Howard,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0150,﻿church,not recorded,English,,,,﻿Essex County,﻿Essex County,﻿Jay,﻿Jay,﻿NY,,,,﻿alb.ny.0027,﻿attended from Ausable Forks,,,,,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0151,﻿church,not recorded,English,,,,﻿Fulton County,﻿Fulton County,﻿Johnstown,﻿Johnstown,﻿NY,,,,,,,﻿ber_mcmanus_001,﻿Rev.,﻿Bernard McManus,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0152,﻿church,not recorded,English,,,,﻿Onondaga County,﻿Onondaga County,"﻿Jordan,",﻿Jordan,﻿NY,,,,﻿alb.ny.0055,﻿attended from Camillus.,,,,,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0153,﻿church,not recorded,English,,,,﻿,,﻿Junction,,﻿NY,,,,﻿alb.ny.0055,﻿attended from Camillus.,,,,,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0155,﻿church,"﻿Immaculate Conception,",English,,,,﻿Essex County,﻿Essex County,﻿Keeseville,﻿Keeseville,﻿NY,,,,,,,﻿joh_mcdonald_001,﻿Rev.,﻿John McDonald,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0156,﻿church,﻿St. John the Baptist,English,,,,﻿Essex County,﻿Essex County,﻿Keeseville,﻿Keeseville,﻿NY,,,,,,,﻿j_b_le-grand_001,﻿Rev.,﻿J. B. Legrand,,,,,,,,1869,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
