instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿sav.ga.0003,﻿church,﻿Holy Trinity Church,English,,,,,﻿Richmond County,﻿Augusta,﻿Augusta,﻿GA,﻿GA,33.47167613,-81.9668056,,,,﻿joh_barry_901,﻿Rev.,﻿John Barry,,,,,,,,1835,﻿https://themostholytrinity.org/our-history,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0010,﻿church,not recorded,English,,,,﻿Wilson County,﻿Henry County,﻿Locust Grove,﻿Locust Grove,﻿GA,﻿GA,33.54252264,-82.77668703,,,,﻿m_d_oreilly_901,﻿Rev.,﻿M. D. O'Reilly,,,,,,,,1835,﻿https://www.hrcga.org/church/locust-grove-catholic/,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9000,﻿church,﻿St. Mary's,English,,,,,,,,﻿GA,,33.54252264,-82.77668703,,,,﻿ed_mayne_902,﻿Rev.,﻿Ed. Mayne,,,"﻿dw. at St. Augustine, Florida",,,,,1835,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0001,﻿church,﻿St. John the Baptist,English,,,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,﻿GA,32.0733565,-81.0909827,,,,﻿jos_stokes_902,﻿Rev.,﻿Joseph Stokes,,,,,,,,1835,"﻿https://en.wikipedia.org/wiki/Cathedral_Basilica_of_St._John_the_Baptist_(Savannah,_Georgia)",,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9001,﻿station,not recorded,English,,,,,,﻿Louisville,,﻿GA,,32.0733565,-81.0909827,,,,,,,,,,,,,,1835,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0004,﻿station,not recorded,English,,,,,,﻿Macon,,﻿GA,,32.0733565,-81.0909827,,,,,,,,,,,,,,1835,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9002,﻿station,not recorded,English,,,,,,﻿Fayetteville,,﻿GA,,32.0733565,-81.0909827,,,,,,,,,,,,,,1835,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0012,﻿station,not recorded,English,,,,,,﻿Sparta,,﻿GA,,32.0733565,-81.0909827,,,,,,,,,,,,,,1835,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9003,﻿station,not recorded,English,,,,,,﻿Clinton,,﻿GA,,32.0733565,-81.0909827,,,,,,,,,,,,,,1835,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9004,﻿station,not recorded,English,,,,,,﻿Gainsville,,﻿GA,,32.0733565,-81.0909827,,,,,,,,,,,,,,1835,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0016,﻿station,not recorded,English,,,,,,﻿Milledgeville,,﻿GA,,32.0733565,-81.0909827,,,,,,,,,,,,,,1835,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0006,﻿station,not recorded,English,,,,,,﻿Columbus,,﻿GA,,32.0733565,-81.0909827,,,,,,,,,,,,,,1835,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9005,﻿station,not recorded,English,,,,,,﻿Covington,,﻿GA,,32.0733565,-81.0909827,,,,,,,,,,,,,,1835,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9006,﻿station,not recorded,English,,,,,,﻿Madison,,﻿GA,,32.0733565,-81.0909827,,,,,,,,,,,,,,1835,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9007,﻿station,not recorded,English,,,,,,﻿Madison Springs,,﻿GA,,32.0733565,-81.0909827,,,,,,,,,,,,,,1835,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9008,﻿station,not recorded,English,,,,,,﻿Beaver Dam,,﻿GA,,32.0733565,-81.0909827,,,,,,,,,,,,,,1835,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9009,﻿station,not recorded,English,,,,,,﻿Montgomery,,﻿GA,,32.0733565,-81.0909827,,,,,,,,,,,,,,1835,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9010,﻿station,not recorded,English,,,,,,﻿Rural Hall,,﻿GA,,32.0733565,-81.0909827,,,,,,,,,,,,,,1835,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9011,﻿station,not recorded,English,,,,,,﻿Warrenton,,﻿GA,,32.0733565,-81.0909827,,,,,,,,,,,,,,1835,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0011,﻿station,not recorded,English,,,,,,﻿Washington,,﻿GA,,32.0733565,-81.0909827,,,,,,,,,,,,,,1835,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9012,﻿station,not recorded,English,,,,,,﻿Fishing Creek,,﻿GA,,32.0733565,-81.0909827,,,,,,,,,,,,,,1835,,,﻿,﻿,﻿Charleston,Charleston
