instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,personTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,persTitle,diocese,diocese_reg
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7420973,-74.172314,,,,﻿jam_r_bayley_001,﻿Rt. Rev.,﻿James Roosevelt Bayley,﻿D.D.,,,,,,,1870,﻿,﻿,﻿,﻿Newark,Newark
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7420973,-74.172314,,,,﻿geo_h_doane_001,﻿Rev.,﻿George H. Doane,,,,,,,,1870,﻿,﻿,﻿,﻿Newark,Newark
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7420973,-74.172314,,,,﻿cha_a_reilly_001,﻿Rev.,﻿Charles A. Reilly,,,,,,,,1870,﻿,﻿,﻿,﻿Newark,Newark
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7420973,-74.172314,,,,﻿p_j_garvey_001,﻿Rev.,﻿P. J. Garvey,﻿D.D.,,,,,,,1870,﻿,﻿,﻿,﻿Newark,Newark
﻿new.nj.0002,﻿chapel,﻿New Cathedral Chapel of Our Lady and St. Patrick,English,,﻿St. Patrick's Cathedral,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.735657,-74.1723667,,,,,,,,,,,,,,1870,﻿,﻿,﻿,﻿Newark,Newark
﻿new.nj.0003,﻿church,﻿St. John's,English,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7380522,-74.165907,,,,﻿tho_m_killeen_001,﻿Rev.,﻿Thomas M. Killeen,,,,,,,,1870,﻿,﻿,﻿,﻿Newark,Newark
﻿new.nj.0003,﻿church,﻿St. John's,English,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7380522,-74.165907,,,,﻿p_f_kivelitz_001,﻿Rev.,﻿P. F. H. Kivelitz,,,,,,,,1870,﻿,﻿,﻿,﻿Newark,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7470654,-74.2329737,,,,﻿rom_hill_001,﻿Rev.,﻿Romanus Hill,﻿O.S.B.,,,,,,,1870,﻿,﻿,﻿,﻿Newark,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7470654,-74.2329737,,,,﻿val_lobmeyer_001,﻿Rev.,﻿Valentine Lobmeyer,﻿O.S.B.,,,,,,,1870,﻿,﻿,﻿,﻿Newark,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7470654,-74.2329737,,,,﻿wil_walter_001,﻿Rev.,﻿William Walter,﻿O.S.B.,,,,,,,1870,﻿,﻿,﻿,﻿Newark,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7470654,-74.2329737,,,,﻿ber_dolweck_001,﻿Rev.,﻿Bernardine Dolweck,﻿O.S.B.,,,,,,,1870,﻿,﻿,﻿,﻿Newark,Newark
