instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,NOTES,courses,Unnamed: 33,Unnamed: 34,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cov.ky.0028,﻿church,﻿St. Peter's,English,,,,﻿Fayette County,﻿Fayette County,﻿Lexington,﻿Lexington,﻿KY,,38.04673404,-84.49459291,,,,﻿ed_mcmahon_901,﻿Rev.,﻿Ed. McMahon,,,,,,,,1838,,﻿https://www.stpeterlex.org/about-us/our-history,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0016,﻿church,﻿St. Louis,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,﻿KY,38.23690764,-85.76363854,,,,﻿ign_a_reynolds_901,﻿Rev.,﻿Ign. A. Reynolds,,,,,,,,1838,,﻿https://www.stlb.org/,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0016,﻿church,﻿St. Louis,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,,38.23690764,-85.76363854,,,,,﻿Rev.,﻿G. W. Hayden,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0016,﻿church,﻿St. Louis,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,,38.23690764,-85.76363854,,,,,﻿Rev.,﻿J. W. McGill,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0016,﻿church,﻿St. Louis,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Louisville,﻿Louisville,﻿KY,,38.23690764,-85.76363854,,,,,﻿Rev. Mr.,﻿Steinsmidt,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0059,﻿church,not recorded,English,,,,﻿Union County,﻿Union County,﻿Morganfield,﻿Morganfield,﻿KY,﻿KY,37.68256297,-87.9215952,,,,,﻿Rev.,﻿Elisha J. Durbin,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0063,﻿church,not recorded,English,,,,﻿Nelson,,﻿New Haven,,﻿KY,,37.6603098,-85.5909759,,﻿[visited] every second Sunday [by] Rev. A. A. Aud.,,,﻿Rev.,﻿A. A. Aud.,,,,,,,,1838,,﻿https://stcatherinenewhaven.org/,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0065,﻿church,not recorded,English,,,,,,﻿Owensboro,,﻿KY,,37.769766,-87.1159126,,,,,﻿Rev.,﻿J. C. Wathen,,,,,,,,1838,,﻿https://ststephencathedral.org/about/,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0048,﻿church,﻿St. Charles',English,,,,,﻿Marion County,﻿Loretto,﻿Loretto,﻿KY,﻿KY,37.6728593,-85.44784585,,,,﻿lew_petit_901,﻿Rev.,﻿Lewis Petit,,,,,,,,1838,,﻿http://sfahc.com/holy-cross,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0023,﻿church,﻿St. Pius's Church,English,,,,﻿Scott County,,﻿Frankfort,,﻿KY,,37.6728593,-85.44784585,,,,﻿j_a_drew_901,﻿Rev.,﻿J. A. Drew,,,,,,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
