instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,notes,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿new.la.0052,﻿church,﻿St. Gabriel's,English,,,,,﻿Iberville Parish,﻿Iberville,﻿St. Gabriel,﻿LA,﻿LA,30.25456526,-91.10210636,,,,,﻿Rev.,﻿A. Anduze,,,,,,,,1838,﻿https://www.stgabrielcatholicchurch.com/history/st-gabriel/,,﻿,﻿,﻿NewOrleans,NewOrleans
﻿new.la.0056,﻿church,﻿Assumption,English,,,,﻿Lafourche Parish,﻿Lafourche Parish,,﻿Plattenville,﻿LA,﻿LA,29.99066747,-91.02365392,,,,,﻿Rev.,﻿D. St. Aubin,,,,,,,,1838,﻿https://sites.google.com/view/bayou-catholics/about/history-of-assumption-of-bvm?authuser=0,,﻿,﻿,﻿NewOrleans,NewOrleans
﻿new.la.9003,﻿church,﻿St. Francis,English,,,,﻿Natchitoches Parish,﻿Natchitoches Parish,,,﻿LA,﻿LA,29.99066747,-91.02365392,,,,,﻿Rev.,﻿D. D'Hann,,,,,,,,1838,"﻿This source would imply that there was a St. Francis Church here at one point; however, it seems like it was either abandoned or destroyed or changed names",,﻿,﻿,﻿NewOrleans,NewOrleans
﻿new.la.9003,﻿church,﻿St. Francis,English,,,,﻿Natchitoches Parish,﻿Natchitoches Parish,,,﻿LA,,29.99066747,-91.02365392,,,,,﻿Rev.,﻿D. Francais,,,,,,,,1838,,,﻿,﻿,﻿NewOrleans,NewOrleans
﻿new.la.0063,﻿church,﻿St. Landry,English,,,,,﻿St. Landry Parish,﻿Opelousas,﻿Opelousas,﻿LA,﻿LA,30.54340651,-92.07908905,,,,,﻿Rev.,﻿F. Rossi,,,,,,,,1838,,,﻿,﻿,﻿NewOrleans,NewOrleans
﻿new.la.0071,﻿church,﻿St. Francis,English,,,,﻿Pointe Coupèe Parish,﻿Pointe Coupèe Parish,,﻿New Roads,﻿LA,﻿LA,30.72923499,-91.48667682,,,,,﻿Rev.,﻿J. Martin,,,,,,,,1838,,,﻿,﻿,﻿NewOrleans,NewOrleans
﻿new.la.0078,﻿church,﻿St. Martin's,English,,,,﻿Attakapas Parish,﻿St. Martin Parish,,﻿St. Martinville,﻿LA,﻿LA,30.12302632,-91.82874083,,,,,﻿Rev.,﻿M. Borella,,,,,,,,1838,﻿https://saintmartindetours.org/about-us,,﻿,﻿,﻿NewOrleans,NewOrleans
﻿new.la.9004,﻿church,﻿St. Bernard's,English,,,,﻿St. Bernard Parish,﻿St. Bernard Parish,,,﻿LA,﻿LA,30.12302632,-91.82874083,,,,,﻿Rev.,﻿D. Van Bockel,,,,,,,,1838,﻿https://stbernard-stbla.com/,,﻿,﻿,﻿NewOrleans,NewOrleans
﻿new.la.0108,﻿church,﻿St. Michael's,English,,,,,﻿St. James Parish,,﻿Convent,﻿LA,﻿LA,30.00991905,-90.82733222,,,,,﻿Rev.,﻿Al. Boué,,,,,,,,1838,﻿https://diobr.org/st-michael-the-archangel-convent,,﻿,﻿,﻿NewOrleans,NewOrleans
﻿new.la.0080,﻿church,﻿St. Joseph's,English,,,,,﻿Lafourche Parish,﻿Thibodeauville,﻿Thibodaux,﻿LA,﻿LA,29.79346434,-90.81966683,,,,,﻿Rev.,﻿J. Andizio,,,,,,,,1838,﻿https://stjoseph-cc.org/history-1,,﻿,﻿,﻿NewOrleans,NewOrleans
﻿new.la.0106,﻿convent,﻿Ursuline Convent,English,,,,,﻿Orleans Parish,﻿New Orleans,﻿New Orleans,﻿LA,﻿LA,29.96083079,-90.0607014,,,,,﻿Rev.,﻿V. Jamey,﻿Chaplain,,,,,,,1838,﻿https://oldursulineconventmuseum.com/,,﻿,﻿,﻿NewOrleans,NewOrleans
﻿new.la.0082,﻿church,﻿St. John the Baptist,English,,,,,,﻿Vermilionville,﻿Vermilionville,﻿LA,,30.222847,-92.02354,,,,,﻿Rev.,﻿L. Peyretti,,,,,,,,1838,,,﻿,﻿,﻿NewOrleans,NewOrleans
﻿nat.ms.0001,﻿church,﻿Church of the Holy Family,English,,,,,﻿Adams County,﻿Natches,﻿Natchez,﻿MS,﻿MS,31.55865469,-91.40131775,,﻿vacant,,,,,,,,,,,,1838,,"﻿I believe this is the same church, or grew out of the same congregation. Per the church's site, Catholic congregated and held service on their own before a priest was sent in. The fact the almanac says vacant speaks to this historic fact. As such, I am saying this is the same institution, or a precursor to it, and keeping the ID for that reason: https://www.stmarybasilica.org/history/",﻿,﻿,﻿NewOrleans,NewOrleans
﻿new.la.0108_02&_03,"﻿convent, academy",﻿Convent and Academy of the Ladies of the Sacred Heart,English,,﻿at St. Michael's,,﻿Acadia Parish,﻿St. James Parish,,﻿Convent,﻿LA,﻿LA,31.55865469,-91.40131775,,,,,,,,,,,,﻿[under the direction of the Ladies of the Sacred Heart],,1838,"﻿""Acadia Parish"" wasn't an actual Parish (county) in 1835.  Instead, it seems to be gesturing towards a place Acadians settled (the Acadian Coast) http://louisianeacadien.com/acadiachurches.html","﻿The branches taught in this institution are as follow: Elements of Botany, Chemistry, Natural, Philosophy and Geometry, Reading, Writing and Grammar, both English and French, Arithmetic, History, Ancient and Modern, Chronology, Mythology, English and French Polite Literature, Geography, Elements of Astronomy, the use of the Globes, Domestic Economy, plain and fancy Needle Work, Embroidery, Marking, Lace work, &c. Music, Drawing, and other fine arts, are paid extra.",﻿,﻿,﻿NewOrleans,NewOrleans
﻿new.la.9016&_02,"﻿convent, academy",﻿Convent and Young Ladies' Academy,English,,,﻿two miles below New Orleans,,,,,﻿LA,,31.55865469,-91.40131775,,,,,,,,,,,,﻿under the direction of the Ursulines,,1838,,"﻿The system of instruction embraces the following objects: the English and French languages, Writing, Arithmetic, Geography, the Use of the Globes, History, Ancient and Modern, Mythology, Chronology, English and French Literature, Elements of Astronomy, Plain and Fancy Needle Work. The Elements of Natural Philosophy, of Botany and Chemistry, will be taught to those young Ladies, whose parents desire it, as also Music, Drawing and Dancing.",﻿,﻿,﻿NewOrleans,NewOrleans
﻿new.la.9009,﻿academy,﻿Young Ladies' Academy,English,,﻿Grand Coteau,,,﻿St. Landry Parish,﻿Opeloussas,﻿Opelousas,﻿LA,﻿LA,31.55865469,-91.40131775,,,,,,,,,,﻿boarders,﻿90 boarders,﻿conducted by the Ladies of the Sacred Heart,,1838,﻿https://cajuntravel.com/things/academy-of-the-sacred-heart/,,﻿,﻿,﻿NewOrleans,NewOrleans
﻿new.la.9014,﻿hospital,﻿Charity Hospital,English,,,,,﻿Orleans Parish,﻿New Orleans,﻿New Orleans,﻿LA,﻿LA,31.55865469,-91.40131775,,,,,,,,,,﻿sisters,﻿12 sisters,﻿under the care of Sisters of Charity,,1838,,,﻿,﻿,﻿NewOrleans,NewOrleans
﻿new.la.9014,﻿hospital,﻿Charity Hospital,English,,,,,﻿Orleans Parish,﻿New Orleans,﻿New Orleans,﻿LA,,31.55865469,-91.40131775,,,,,,,,,,﻿patients,﻿300 patients,﻿under the care of Sisters of Charity,,1838,,,﻿,﻿,﻿NewOrleans,NewOrleans
﻿new.la.0108_04,﻿asylum,﻿orphan asylum,English,,﻿at St. Michael's,,﻿Acadia Parish,,,,﻿LA,,31.55865469,-91.40131775,,,,,,,,,,﻿orphans,﻿38 orphans,,,1838,,,﻿,﻿,﻿NewOrleans,NewOrleans
