instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,NOTES,courses,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cha.sc.0034,﻿church,not recorded,English,,,,,,﻿Sumpter,,﻿SC,,34.00550865,-81.03810855,,﻿visited by Rev. John Bermingham,,﻿joh_bermingham_901,﻿Rev.,﻿John Bermingham,,,,,,,,1836,,"﻿2 churches stand today, neither built before 1870... There were two churches beforehand: Our Lady of the Assumption in 1838 and St. Lawrence in 1850. There's no St. John's here that I can find. https://archives.themiscellany.org/2011/05/26/stanne-sumter/ | https://www.sasjrcc.org/about-us/our-history/",,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9013,﻿station,not recorded,English,﻿other stations in the N. Western part of the State,,,,,﻿Fairfield,,﻿SC,,34.00550865,-81.03810855,,﻿visited by Rev. John Bermingham,,﻿joh_bermingham_901,﻿Rev.,﻿John Bermingham,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿vic.nc.9003,﻿station,not recorded,English,,,,,,﻿Lincoln,,﻿NC,,34.00550865,-81.03810855,,﻿visited by Rev. John Bermingham,,﻿joh_bermingham_901,﻿Rev.,﻿John Bermingham,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0011,﻿station,not recorded,English,,,,,﻿Mecklenburg County,﻿Charlotte,﻿Charlotte,﻿NC,﻿NC,34.00550865,-81.03810855,,﻿visited by Rev. John Bermingham,,﻿joh_bermingham_901,﻿Rev.,﻿John Bermingham,,,,,,,,1836,,﻿Seems like this is a mission of some sort - or a satellite station?,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9012,﻿station,not recorded,English,﻿other stations,,,,,,,﻿SC,,34.00550865,-81.03810855,﻿cha.sc.0001,﻿occasionally visited from the city of Charleston,,,,,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0035,﻿church,not recorded,English,,,,,,﻿Cheraw,,﻿SC,,34.6933706,-79.89188,,﻿visited by Rev. Patrick Hackett,,﻿pat_hackett_901,﻿Rev.,﻿Patrick Hackett,,,,,,,,1836,,﻿https://www.scpictureproject.org/chesterfield-county/st-peters-catholic-church.html,,﻿,﻿,﻿Charleston,Charleston
﻿vic.nc.0002,﻿church,﻿St. Patrick's,English,﻿Mass on Sundays during every second month,,,,﻿Cumberland County,﻿Fayetteville,﻿Fayetteville,﻿NC,﻿NC,35.05259752,-78.87660777,,﻿visited by Rev. Patrick Hackett,,﻿pat_hackett_901,﻿Rev.,﻿Patrick Hackett,,,,,,,,1836,,﻿https://www.stpatnc.org/history,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0018,﻿church,not recorded,English,,,,,,﻿Raleigh,,﻿NC,,35.05259752,-78.87660777,,﻿visited by Rev. Patrick Hackett,,﻿pat_hackett_901,﻿Rev.,﻿Patrick Hackett,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0001,﻿church,not recorded,English,,,,,,﻿Wilmington,,﻿NC,,35.05259752,-78.87660777,,﻿visited by Rev. Patrick Hackett,,﻿pat_hackett_901,﻿Rev.,﻿Patrick Hackett,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿vic.nc.9008,﻿station,not recorded,English,﻿other stations,,,,,,,﻿NC,,35.05259752,-78.87660777,,﻿attended by Rev. Patrick Hackett,,﻿pat_hackett_901,﻿Rev.,﻿Patrick Hackett,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
