instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,Unnamed: 30,Unnamed: 31,attendingPersID,order,diocese,diocese_reg
﻿alb.ny.0003,﻿chapel,﻿New Chapel,English,,,,,﻿Albany County,﻿Albany,﻿Albany,﻿NY,,42.65181929,-73.75279367,,,,,,﻿Rev.,﻿John Kelly,,,,,,,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿bro.ny.0001,﻿church,﻿St. James,English,"﻿""L.I.""",,,,﻿Kings County,﻿Brooklyn,﻿Brooklyn,﻿NY,﻿NY,40.697056,-73.986667,,,,,﻿joh_walsh_901,﻿Rev.,﻿John Walsh,,,,,,,1838,,﻿https://en.wikipedia.org/wiki/Cathedral_Basilica_of_St._James_(Brooklyn) ; https://brooklyncathedral.org/history,﻿,﻿,﻿New York,NewYorkCity
﻿bro.ny.0001,﻿church,﻿St. James,English,"﻿""L.I.""",,,,﻿Kings County,﻿Brooklyn,﻿Brooklyn,﻿NY,,40.697056,-73.986667,,,,,,﻿Rev. Mr.,﻿Waters,,,,,,,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿buf.ny.0006,﻿church,﻿Lamb of God,English,,,,,﻿Erie County,﻿Buffaloe,﻿Buffalo,﻿NY,﻿NY,42.895428,-78.871729,,,,,﻿nic_mertz_901,﻿Rev.,﻿Nicholas Mertz,,,,,,,1838,,"﻿https://en.wikipedia.org/wiki/St._Louis_Roman_Catholic_Church#:~:text=Saint%20Louis%20Roman%20Catholic%20Church,Roman%20Catholic%20Diocese%20of%20Buffalo%22. ; while St. Joseph's is more notable, and is the main church in the later almanac years of the 1860s/1870s, it appears that this is the only surviving pre-1833 church in the city. For that reason, I am going with this church as opposed to the one that appears first in the diocese later on.",﻿,﻿,﻿New York,NewYorkCity
﻿buf.ny.0006,﻿church,﻿Lamb of God,English,,,,,﻿Erie County,﻿Buffaloe,﻿Buffalo,﻿NY,,42.895428,-78.871729,,,,,,﻿Rev.,﻿Charles Smith,,,,,,,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿alb.ny.0059,﻿church,not recorded,English,,,,,﻿Jefferson County,﻿Carthage,﻿Carthage,﻿NY,﻿NY,43.97826491,-75.60778008,,,,,,,,,,﻿Vacant,,,,1838,,﻿http://www.catholicsofcarthagecopenhagen.org/,﻿,﻿,﻿New York,NewYorkCity
﻿alb.ny.0059,﻿church,not recorded,English,,,,,﻿Jefferson County,﻿Leraysville,﻿Carthage,﻿NY,,43.97826491,-75.60778008,,,,,,,,,,﻿Vacant,,,,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿alb.ny.0059,﻿church,not recorded,English,,,,,﻿Jefferson County,﻿Watertown,﻿Carthage,﻿NY,,43.97826491,-75.60778008,,,,,,,,,,﻿Vacant,,,,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿alb.ny.9003,﻿church,not recorded,English,,,,,,﻿Auburn,,﻿NY,,43.97826491,-75.60778008,,,,,,,,,,﻿Vacant,,,,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿alb.ny.9007,﻿church,not recorded,English,,,,,,﻿China,,﻿NY,,43.97826491,-75.60778008,,,,,﻿cha_smith_901,﻿Rev.,﻿Charles Smith,,,,,,,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0123,﻿church,﻿Coldsprings Church,English,,,,,,,,﻿NY,,43.97826491,-75.60778008,,,,,,﻿Rev.,﻿Patrick Duffy,,,,,,,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0123,﻿church,﻿Sogerties Church,English,,,,,,,,﻿NY,,43.97826491,-75.60778008,,,,,,﻿Rev.,﻿Patrick Duffy,,,,,,,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0161,﻿chapel,﻿Newberg Chapel,English,,,,,,,,﻿NY,,43.97826491,-75.60778008,,,,,﻿pat_duffy_901,﻿Rev.,﻿Patrick Duffy,,,,,,,1838,,,﻿,﻿,﻿New York,NewYorkCity
﻿nyc.ny.0199,﻿church,﻿Westpoint Chapel,English,,,,,,,,﻿NY,,41.3914827,-73.9559721,,,,,﻿pat_duffy_901,﻿Rev.,﻿Patrick Duffy,,,,,,,1838,,,﻿,﻿,﻿New York,NewYorkCity
