instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿bos.ma.9000,﻿convent,﻿Ursuline Convent,English,,,,,﻿Suffolk County,﻿Charlestown,﻿Charlestown,﻿MA,﻿MA,42.52128369,-70.88989474,,,,﻿ben_j_fenwick_901,﻿Right Rev.,﻿B. Fenwick,﻿D.D.,,,,,,,1834,"﻿This place no longer exists because it was burned down by a 1830s attack by Protestants: https://en.wikipedia.org/wiki/Ursuline_Convent_riots , https://historicipswich.net/2025/03/06/boston-irish-long-remembered-the-1834-charlestown-convent-fire/","﻿Reading, Writing, Grammar, Arithmetic, Georgraphy, History (ancient and modern), Orthography, plain and fancy needle-work, ornamental writing, prose and poetry composition, ancient and modern history, chronology, mythology, use of Globes, astronomy, rhetoric, logic, natural and moral philosophy, chemistry, arithmetic, geometry, botany, japanning, drawing, painting in oil colours and on velvet satin and wood mezzotinto and poonah, music",﻿,﻿,﻿Boston,Boston
﻿bos.ma.0152,﻿church,﻿St. Mary's,English,,,,,﻿Essex County,﻿Salem,﻿Salem,﻿MA,﻿MA,42.64523751,-71.31771974,,,,﻿wil_wiley_901,﻿Rev.,﻿William Wiley,,,,,,,,1834,﻿https://salempl.org/wiki/index.php?title=Immaculate_Conception_Church ;  https://www.mqoa.org/,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0109,﻿church,﻿St. Patrick's,English,,,,,﻿Middlesex County,﻿Lowell,﻿Lowell,﻿MA,﻿MA,,,,,,﻿joh_mahony_901,﻿Rev.,﻿J. Mahoney,,,,,,,,1834,﻿https://stpatricklowell.org/history-of-the-church/,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0109,﻿church,﻿St. Patrick's,English,,,,,﻿Middlesex County,﻿Lowell,﻿Lowell,﻿MA,,41.76140694,-70.49310983,,,,﻿curtin_901,﻿Rev. Mr.,﻿Curtin,,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0154,﻿church,﻿St. Peter's church,English,,,,,﻿Barnstable County,﻿Sandwich,﻿Sandwich,﻿MA,﻿MA,41.63779641,-70.95973713,,,,﻿pat_canavan_901,﻿Rev.,﻿P. Canavan,,,,,,,,1834,﻿https://www.fostasandwich.com/firstcatholicchurch ; https://www.capenews.net/sandwich/columns/the-capes-first-catholic-church-was-in-sandwich/article_79f271c0-b0ed-58f7-bd11-19f4cde4ebd6.html,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0129,﻿church,not recorded,English,,,,,﻿Bristol County,﻿New Bedford,﻿New Bedford,﻿MA,﻿MA,41.76618872,-70.72462791,,,,﻿pat_canavan_901,﻿Rev.,﻿P. Canavan,,,,,,,,1834,﻿https://www.fallriverdiocese.org/about/about-history/,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0181,﻿church,not recorded,English,,,,,﻿Plymouth County,﻿Wareham,﻿Wareham,﻿MA,﻿MA,41.90730595,-71.09254201,,,,﻿pat_canavan_901,﻿Rev.,﻿P. Canavan,,,,,,,,1834,﻿https://stpatrickswareham.org/about-us/history/,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0170,﻿church,﻿St. Mary's,English,,,,,﻿Bristol County,﻿Taunton,﻿Taunton,﻿MA,﻿MA,43.65032458,-70.2626409,,,,﻿joh_corry_901,﻿Rev.,﻿J. Corry,,,,,,,,1834,﻿https://www.cntaunton.org/parish-history.html,,﻿,﻿,﻿Boston,Boston
﻿por.me.0002,﻿church,﻿St. Dominick's,English,,,,,﻿Cumberland County,﻿Portland,﻿Portland,﻿ME,﻿ME,,,,,,﻿cha_french_901,﻿Rev.,﻿Chs. French,,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
﻿por.me.0002,﻿church,﻿St. Dominick's,English,,,,,﻿Cumberland County,﻿Portland,﻿Portland,﻿ME,,44.03406777,-69.5371186,,,,﻿p_mcnamee_901,﻿Rev.,﻿P. M'Namee,,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
